,Область,Год,Население,Unnamed: 0,index,ranks
9,Акмолинская,2000,778657,,16.299999999999997,1
8,Акмолинская,2000,780937,,14.6,2
7,Акмолинская,2000,783217,,12.9,3
6,Акмолинская,2000,785497,,11.2,4
5,Акмолинская,2000,787778,,9.5,5
4,Акмолинская,2000,790058,,7.8,6
3,Акмолинская,2000,792338,,6.1,7
2,Акмолинская,2000,794618,,4.4,8
1,Акмолинская,2000,796898,,2.7,9
0,Акмолинская,2000,799179,,1.0,10
9,Актюбинская,2000,670979,,17.299999999999997,1
8,Актюбинская,2000,671727,,15.6,2
7,Актюбинская,2000,672476,,13.9,3
6,Актюбинская,2000,673224,,12.2,4
5,Актюбинская,2000,673973,,10.5,5
4,Актюбинская,2000,674721,,8.8,6
3,Актюбинская,2000,675469,,7.1,7
2,Актюбинская,2000,676218,,5.4,8
1,Актюбинская,2000,676966,,3.7,9
0,Актюбинская,2000,677715,,2.0,10
9,Алматинская,2000,1554602,,18.299999999999997,1
8,Алматинская,2000,1554884,,16.6,2
7,Алматинская,2000,1555166,,14.9,3
6,Алматинская,2000,1555448,,13.2,4
5,Алматинская,2000,1555730,,11.5,5
4,Алматинская,2000,1556012,,9.8,6
3,Алматинская,2000,1556294,,8.1,7
2,Алматинская,2000,1556576,,6.4,8
1,Алматинская,2000,1556858,,4.7,9
0,Алматинская,2000,1557141,,3.0,10
9,Алматы,2000,1128927,,31.299999999999997,1
8,Алматы,2000,1129095,,29.6,2
7,Алматы,2000,1129263,,27.9,3
6,Алматы,2000,1129431,,26.2,4
5,Алматы,2000,1129599,,24.5,5
4,Алматы,2000,1129767,,22.8,6
3,Алматы,2000,1129935,,21.1,7
2,Алматы,2000,1130103,,19.4,8
1,Алматы,2000,1130271,,17.7,9
0,Алматы,2000,1130439,,16.0,10
0,Астана,2000,380990,,15.0,1
1,Астана,2000,386911,,16.7,2
2,Астана,2000,392833,,18.4,3
3,Астана,2000,398755,,20.1,4
4,Астана,2000,404677,,21.8,5
5,Астана,2000,410599,,23.5,6
6,Астана,2000,416521,,25.2,7
7,Астана,2000,422443,,26.9,8
8,Астана,2000,428365,,28.6,9
9,Астана,2000,434287,,30.299999999999997,10
0,Атырауская,2000,441692,,4.0,1
1,Атырауская,2000,441885,,5.7,2
2,Атырауская,2000,442079,,7.4,3
3,Атырауская,2000,442273,,9.1,4
4,Атырауская,2000,442467,,10.8,5
5,Атырауская,2000,442661,,12.5,6
6,Атырауская,2000,442854,,14.2,7
7,Атырауская,2000,443048,,15.9,8
8,Атырауская,2000,443242,,17.6,9
9,Атырауская,2000,443436,,19.299999999999997,10
9,ВКО,2000,1500865,,29.299999999999997,1
8,ВКО,2000,1502634,,27.6,2
7,ВКО,2000,1504403,,25.9,3
6,ВКО,2000,1506172,,24.2,4
5,ВКО,2000,1507941,,22.5,5
4,ВКО,2000,1509709,,20.8,6
3,ВКО,2000,1511478,,19.1,7
2,ВКО,2000,1513247,,17.4,8
1,ВКО,2000,1515016,,15.7,9
0,ВКО,2000,1516785,,14.0,10
9,Жамбылская,2000,982349,,21.299999999999997,1
8,Жамбылская,2000,982771,,19.6,2
7,Жамбылская,2000,983192,,17.9,3
6,Жамбылская,2000,983614,,16.2,4
5,Жамбылская,2000,984036,,14.5,5
4,Жамбылская,2000,984457,,12.8,6
3,Жамбылская,2000,984879,,11.1,7
2,Жамбылская,2000,985300,,9.4,8
1,Жамбылская,2000,985722,,7.7,9
0,Жамбылская,2000,986144,,6.0,10
9,ЗКО,2000,602399,,20.299999999999997,1
8,ЗКО,2000,603150,,18.6,2
7,ЗКО,2000,603901,,16.9,3
6,ЗКО,2000,604653,,15.2,4
5,ЗКО,2000,605404,,13.5,5
4,ЗКО,2000,606155,,11.8,6
3,ЗКО,2000,606907,,10.1,7
2,ЗКО,2000,607658,,8.4,8
1,ЗКО,2000,608409,,6.7,9
0,ЗКО,2000,609161,,5.0,10
9,Карагандинская,2000,1367348,,22.299999999999997,1
8,Карагандинская,2000,1369915,,20.6,2
7,Карагандинская,2000,1372482,,18.9,3
6,Карагандинская,2000,1375050,,17.2,4
5,Карагандинская,2000,1377617,,15.5,5
4,Карагандинская,2000,1380184,,13.8,6
3,Карагандинская,2000,1382752,,12.1,7
2,Карагандинская,2000,1385319,,10.4,8
1,Карагандинская,2000,1387886,,8.7,9
0,Карагандинская,2000,1390454,,7.0,10
9,Костанайская,2000,962225,,23.299999999999997,1
8,Костанайская,2000,965176,,21.6,2
7,Костанайская,2000,968127,,19.9,3
6,Костанайская,2000,971079,,18.2,4
5,Костанайская,2000,974030,,16.5,5
4,Костанайская,2000,976981,,14.8,6
3,Костанайская,2000,979933,,13.1,7
2,Костанайская,2000,982884,,11.4,8
1,Костанайская,2000,985835,,9.7,9
0,Костанайская,2000,988787,,8.0,10
0,Кызылординская,2000,598526,,9.0,1
1,Кызылординская,2000,598647,,10.7,2
2,Кызылординская,2000,598768,,12.4,3
3,Кызылординская,2000,598889,,14.1,4
4,Кызылординская,2000,599010,,15.8,5
5,Кызылординская,2000,599132,,17.5,6
6,Кызылординская,2000,599253,,19.2,7
7,Кызылординская,2000,599374,,20.9,8
8,Кызылординская,2000,599495,,22.6,9
9,Кызылординская,2000,599616,,24.299999999999997,10
0,Мангистауская,2000,315203,,10.0,1
1,Мангистауская,2000,315601,,11.7,2
2,Мангистауская,2000,316000,,13.4,3
3,Мангистауская,2000,316399,,15.1,4
4,Мангистауская,2000,316798,,16.8,5
5,Мангистауская,2000,317197,,18.5,6
6,Мангистауская,2000,317595,,20.2,7
7,Мангистауская,2000,317994,,21.9,8
8,Мангистауская,2000,318393,,23.6,9
9,Мангистауская,2000,318792,,25.299999999999997,10
9,Павлодарская,2000,774285,,26.299999999999997,1
8,Павлодарская,2000,776117,,24.6,2
7,Павлодарская,2000,777949,,22.9,3
6,Павлодарская,2000,779781,,21.2,4
5,Павлодарская,2000,781613,,19.5,5
4,Павлодарская,2000,783445,,17.8,6
3,Павлодарская,2000,785277,,16.1,7
2,Павлодарская,2000,787109,,14.4,8
1,Павлодарская,2000,788941,,12.7,9
0,Павлодарская,2000,790774,,11.0,10
9,Республика Казахстан ,2000,14869213,,15.299999999999999,1
8,Республика Казахстан ,2000,14872816,,13.6,2
7,Республика Казахстан ,2000,14876419,,11.9,3
6,Республика Казахстан ,2000,14880022,,10.2,4
5,Республика Казахстан ,2000,14883625,,8.5,5
4,Республика Казахстан ,2000,14887228,,6.8,6
3,Республика Казахстан ,2000,14890831,,5.1,7
2,Республика Казахстан ,2000,14894434,,3.4,8
1,Республика Казахстан ,2000,14898037,,1.7,9
0,Республика Казахстан ,2000,14901641,,0.0,10
9,СКО,2000,703723,,27.299999999999997,1
8,СКО,2000,704824,,25.6,2
7,СКО,2000,705924,,23.9,3
6,СКО,2000,707025,,22.2,4
5,СКО,2000,708125,,20.5,5
4,СКО,2000,709226,,18.8,6
3,СКО,2000,710326,,17.1,7
2,СКО,2000,711427,,15.4,8
1,СКО,2000,712527,,13.7,9
0,СКО,2000,713628,,12.0,10
0,Туркестанская,2000,2005023,,13.0,1
1,Туркестанская,2000,2009655,,14.7,2
2,Туркестанская,2000,2014288,,16.4,3
3,Туркестанская,2000,2018921,,18.1,4
4,Туркестанская,2000,2023554,,19.8,5
5,Туркестанская,2000,2028187,,21.5,6
6,Туркестанская,2000,2032819,,23.2,7
7,Туркестанская,2000,2037452,,24.9,8
8,Туркестанская,2000,2042085,,26.6,9
9,Туркестанская,2000,2046718,,28.299999999999997,10
19,Акмолинская,2001,757137,,33.3,11
18,Акмолинская,2001,759275,,31.6,12
17,Акмолинская,2001,761413,,29.9,13
16,Акмолинская,2001,763550,,28.2,14
15,Акмолинская,2001,765688,,26.5,15
14,Акмолинская,2001,767826,,24.8,16
13,Акмолинская,2001,769963,,23.1,17
12,Акмолинская,2001,772101,,21.4,18
11,Акмолинская,2001,774239,,19.7,19
10,Акмолинская,2001,776377,,18.0,20
19,Актюбинская,2001,668372,,34.3,11
18,Актюбинская,2001,668579,,32.6,12
17,Актюбинская,2001,668785,,30.9,13
16,Актюбинская,2001,668992,,29.2,14
15,Актюбинская,2001,669198,,27.5,15
14,Актюбинская,2001,669405,,25.8,16
13,Актюбинская,2001,669611,,24.1,17
12,Актюбинская,2001,669818,,22.4,18
11,Актюбинская,2001,670024,,20.7,19
10,Актюбинская,2001,670231,,19.0,20
10,Алматинская,2001,1554320,,20.0,11
11,Алматинская,2001,1554345,,21.7,12
12,Алматинская,2001,1554370,,23.4,13
13,Алматинская,2001,1554395,,25.1,14
14,Алматинская,2001,1554421,,26.8,15
15,Алматинская,2001,1554446,,28.5,16
16,Алматинская,2001,1554471,,30.2,17
17,Алматинская,2001,1554497,,31.9,18
18,Алматинская,2001,1554522,,33.6,19
19,Алматинская,2001,1554547,,35.3,20
10,Алматы,2001,1128759,,33.0,11
11,Алматы,2001,1129125,,34.7,12
12,Алматы,2001,1129492,,36.4,13
13,Алматы,2001,1129858,,38.1,14
14,Алматы,2001,1130225,,39.8,15
15,Алматы,2001,1130591,,41.5,16
16,Алматы,2001,1130958,,43.2,17
17,Алматы,2001,1131324,,44.9,18
18,Алматы,2001,1131691,,46.6,19
19,Алматы,2001,1132057,,48.3,20
10,Астана,2001,440209,,32.0,11
11,Астана,2001,445494,,33.7,12
12,Астана,2001,450779,,35.4,13
13,Астана,2001,456064,,37.1,14
14,Астана,2001,461350,,38.8,15
15,Астана,2001,466635,,40.5,16
16,Астана,2001,471920,,42.2,17
17,Астана,2001,477206,,43.9,18
18,Астана,2001,482491,,45.6,19
19,Астана,2001,487776,,47.3,20
10,Атырауская,2001,443630,,21.0,11
11,Атырауская,2001,444030,,22.7,12
12,Атырауская,2001,444430,,24.4,13
13,Атырауская,2001,444831,,26.1,14
14,Атырауская,2001,445231,,27.8,15
15,Атырауская,2001,445632,,29.5,16
16,Атырауская,2001,446032,,31.2,17
17,Атырауская,2001,446432,,32.9,18
18,Атырауская,2001,446833,,34.6,19
19,Атырауская,2001,447233,,36.3,20
19,ВКО,2001,1484204,,46.3,11
18,ВКО,2001,1485859,,44.6,12
17,ВКО,2001,1487514,,42.9,13
16,ВКО,2001,1489168,,41.2,14
15,ВКО,2001,1490823,,39.5,15
14,ВКО,2001,1492478,,37.8,16
13,ВКО,2001,1494132,,36.1,17
12,ВКО,2001,1495787,,34.4,18
11,ВКО,2001,1497442,,32.7,19
10,ВКО,2001,1499097,,31.0,20
19,Жамбылская,2001,979471,,38.3,11
18,Жамбылская,2001,979744,,36.6,12
17,Жамбылская,2001,980017,,34.9,13
16,Жамбылская,2001,980290,,33.2,14
15,Жамбылская,2001,980563,,31.5,15
14,Жамбылская,2001,980836,,29.8,16
13,Жамбылская,2001,981109,,28.1,17
12,Жамбылская,2001,981382,,26.4,18
11,Жамбылская,2001,981655,,24.7,19
10,Жамбылская,2001,981928,,23.0,20
19,ЗКО,2001,600461,,37.3,11
18,ЗКО,2001,600593,,35.6,12
17,ЗКО,2001,600725,,33.9,13
16,ЗКО,2001,600857,,32.2,14
15,ЗКО,2001,600989,,30.5,15
14,ЗКО,2001,601120,,28.8,16
13,ЗКО,2001,601252,,27.1,17
12,ЗКО,2001,601384,,25.4,18
11,ЗКО,2001,601516,,23.7,19
10,ЗКО,2001,601648,,22.0,20
19,Карагандинская,2001,1346297,,39.3,11
18,Карагандинская,2001,1348351,,37.6,12
17,Карагандинская,2001,1350405,,35.9,13
16,Карагандинская,2001,1352458,,34.2,14
15,Карагандинская,2001,1354512,,32.5,15
14,Карагандинская,2001,1356566,,30.8,16
13,Карагандинская,2001,1358619,,29.1,17
12,Карагандинская,2001,1360673,,27.4,18
11,Карагандинская,2001,1362727,,25.7,19
10,Карагандинская,2001,1364781,,24.0,20
19,Костанайская,2001,938072,,40.3,11
18,Костанайская,2001,940428,,38.6,12
17,Костанайская,2001,942784,,36.9,13
16,Костанайская,2001,945139,,35.2,14
15,Костанайская,2001,947495,,33.5,15
14,Костанайская,2001,949851,,31.8,16
13,Костанайская,2001,952206,,30.1,17
12,Костанайская,2001,954562,,28.4,18
11,Костанайская,2001,956918,,26.7,19
10,Костанайская,2001,959274,,25.0,20
10,Кызылординская,2001,599738,,26.0,11
11,Кызылординская,2001,599861,,27.7,12
12,Кызылординская,2001,599984,,29.4,13
13,Кызылординская,2001,600108,,31.1,14
14,Кызылординская,2001,600231,,32.8,15
15,Кызылординская,2001,600355,,34.5,16
16,Кызылординская,2001,600478,,36.2,17
17,Кызылординская,2001,600601,,37.9,18
18,Кызылординская,2001,600725,,39.6,19
19,Кызылординская,2001,600848,,41.3,20
10,Мангистауская,2001,319191,,27.0,11
11,Мангистауская,2001,320098,,28.7,12
12,Мангистауская,2001,321005,,30.4,13
13,Мангистауская,2001,321913,,32.1,14
14,Мангистауская,2001,322820,,33.8,15
15,Мангистауская,2001,323728,,35.5,16
16,Мангистауская,2001,324635,,37.2,17
17,Мангистауская,2001,325542,,38.9,18
18,Мангистауская,2001,326450,,40.6,19
19,Мангистауская,2001,327357,,42.3,20
19,Павлодарская,2001,759583,,43.3,11
18,Павлодарская,2001,761013,,41.6,12
17,Павлодарская,2001,762443,,39.9,13
16,Павлодарская,2001,763873,,38.2,14
15,Павлодарская,2001,765303,,36.5,15
14,Павлодарская,2001,766733,,34.8,16
13,Павлодарская,2001,768163,,33.1,17
12,Павлодарская,2001,769593,,31.4,18
11,Павлодарская,2001,771023,,29.7,19
10,Павлодарская,2001,772453,,28.0,20
19,Республика Казахстан ,2001,14852514,,32.3,11
18,Республика Казахстан ,2001,14853969,,30.6,12
17,Республика Казахстан ,2001,14855424,,28.9,13
16,Республика Казахстан ,2001,14856879,,27.2,14
15,Республика Казахстан ,2001,14858334,,25.5,15
14,Республика Казахстан ,2001,14859789,,23.8,16
13,Республика Казахстан ,2001,14861244,,22.1,17
12,Республика Казахстан ,2001,14862699,,20.4,18
11,Республика Казахстан ,2001,14864154,,18.7,19
10,Республика Казахстан ,2001,14865610,,17.0,20
19,СКО,2001,692399,,44.3,11
18,СКО,2001,693535,,42.6,12
17,СКО,2001,694671,,40.9,13
16,СКО,2001,695807,,39.2,14
15,СКО,2001,696943,,37.5,15
14,СКО,2001,698079,,35.8,16
13,СКО,2001,699215,,34.1,17
12,СКО,2001,700351,,32.4,18
11,СКО,2001,701487,,30.7,19
10,СКО,2001,702623,,29.0,20
10,Туркестанская,2001,2051351,,30.0,11
11,Туркестанская,2001,2054166,,31.7,12
12,Туркестанская,2001,2056982,,33.4,13
13,Туркестанская,2001,2059797,,35.1,14
14,Туркестанская,2001,2062613,,36.8,15
15,Туркестанская,2001,2065428,,38.5,16
16,Туркестанская,2001,2068244,,40.2,17
17,Туркестанская,2001,2071059,,41.9,18
18,Туркестанская,2001,2073875,,43.6,19
19,Туркестанская,2001,2076690,,45.3,20
29,Акмолинская,2002,748850,,50.3,21
28,Акмолинская,2002,749533,,48.6,22
27,Акмолинская,2002,750216,,46.9,23
26,Акмолинская,2002,750900,,45.2,24
25,Акмолинская,2002,751583,,43.5,25
24,Акмолинская,2002,752266,,41.8,26
23,Акмолинская,2002,752950,,40.1,27
22,Акмолинская,2002,753633,,38.4,28
21,Акмолинская,2002,754316,,36.7,29
20,Акмолинская,2002,755000,,35.0,30
20,Актюбинская,2002,668166,,36.0,21
21,Актюбинская,2002,668187,,37.7,22
22,Актюбинская,2002,668208,,39.4,23
23,Актюбинская,2002,668229,,41.1,24
24,Актюбинская,2002,668250,,42.8,25
25,Актюбинская,2002,668272,,44.5,26
26,Актюбинская,2002,668293,,46.2,27
27,Актюбинская,2002,668314,,47.9,28
28,Актюбинская,2002,668335,,49.6,29
29,Актюбинская,2002,668356,,51.3,30
20,Алматинская,2002,1554573,,37.0,21
21,Алматинская,2002,1555142,,38.7,22
22,Алматинская,2002,1555711,,40.4,23
23,Алматинская,2002,1556281,,42.1,24
24,Алматинская,2002,1556850,,43.8,25
25,Алматинская,2002,1557420,,45.5,26
26,Алматинская,2002,1557989,,47.2,27
27,Алматинская,2002,1558558,,48.9,28
28,Алматинская,2002,1559128,,50.6,29
29,Алматинская,2002,1559697,,52.3,30
20,Алматы,2002,1132424,,50.0,21
21,Алматы,2002,1134145,,51.7,22
22,Алматы,2002,1135867,,53.4,23
23,Алматы,2002,1137589,,55.1,24
24,Алматы,2002,1139310,,56.8,25
25,Алматы,2002,1141032,,58.5,26
26,Алматы,2002,1142754,,60.2,27
27,Алматы,2002,1144475,,61.9,28
28,Алматы,2002,1146197,,63.6,29
29,Алматы,2002,1147919,,65.3,30
20,Астана,2002,493062,,49.0,21
21,Астана,2002,493955,,50.7,22
22,Астана,2002,494849,,52.4,23
23,Астана,2002,495742,,54.1,24
24,Астана,2002,496636,,55.8,25
25,Астана,2002,497530,,57.5,26
26,Астана,2002,498423,,59.2,27
27,Астана,2002,499317,,60.9,28
28,Астана,2002,500210,,62.6,29
29,Астана,2002,501104,,64.3,30
20,Атырауская,2002,447634,,38.0,21
21,Атырауская,2002,448063,,39.7,22
22,Атырауская,2002,448492,,41.4,23
23,Атырауская,2002,448922,,43.1,24
24,Атырауская,2002,449351,,44.8,25
25,Атырауская,2002,449781,,46.5,26
26,Атырауская,2002,450210,,48.2,27
27,Атырауская,2002,450639,,49.9,28
28,Атырауская,2002,451069,,51.6,29
29,Атырауская,2002,451498,,53.3,30
29,ВКО,2002,1467592,,63.3,21
28,ВКО,2002,1469254,,61.6,22
27,ВКО,2002,1470916,,59.9,23
26,ВКО,2002,1472578,,58.2,24
25,ВКО,2002,1474240,,56.5,25
24,ВКО,2002,1475902,,54.8,26
23,ВКО,2002,1477564,,53.1,27
22,ВКО,2002,1479226,,51.4,28
21,ВКО,2002,1480888,,49.7,29
20,ВКО,2002,1482550,,48.0,30
20,Жамбылская,2002,979199,,40.0,21
21,Жамбылская,2002,979286,,41.7,22
22,Жамбылская,2002,979373,,43.4,23
23,Жамбылская,2002,979460,,45.1,24
24,Жамбылская,2002,979548,,46.8,25
25,Жамбылская,2002,979635,,48.5,26
26,Жамбылская,2002,979722,,50.2,27
27,Жамбылская,2002,979810,,51.9,28
28,Жамбылская,2002,979897,,53.6,29
29,Жамбылская,2002,979984,,55.3,30
20,ЗКО,2002,600330,,39.0,21
21,ЗКО,2002,600510,,40.7,22
22,ЗКО,2002,600690,,42.4,23
23,ЗКО,2002,600870,,44.1,24
24,ЗКО,2002,601051,,45.8,25
25,ЗКО,2002,601231,,47.5,26
26,ЗКО,2002,601411,,49.2,27
27,ЗКО,2002,601592,,50.9,28
28,ЗКО,2002,601772,,52.6,29
29,ЗКО,2002,601952,,54.3,30
29,Карагандинская,2002,1334714,,56.3,21
28,Карагандинская,2002,1335773,,54.6,22
27,Карагандинская,2002,1336832,,52.9,23
26,Карагандинская,2002,1337891,,51.2,24
25,Карагандинская,2002,1338950,,49.5,25
24,Карагандинская,2002,1340008,,47.8,26
23,Карагандинская,2002,1341067,,46.1,27
22,Карагандинская,2002,1342126,,44.4,28
21,Карагандинская,2002,1343185,,42.7,29
20,Карагандинская,2002,1344244,,41.0,30
29,Костанайская,2002,921173,,57.3,21
28,Костанайская,2002,922789,,55.6,22
27,Костанайская,2002,924405,,53.9,23
26,Костанайская,2002,926021,,52.2,24
25,Костанайская,2002,927637,,50.5,25
24,Костанайская,2002,929253,,48.8,26
23,Костанайская,2002,930869,,47.1,27
22,Костанайская,2002,932485,,45.4,28
21,Костанайская,2002,934101,,43.7,29
20,Костанайская,2002,935717,,42.0,30
20,Кызылординская,2002,600972,,43.0,21
21,Кызылординская,2002,601255,,44.7,22
22,Кызылординская,2002,601538,,46.4,23
23,Кызылординская,2002,601821,,48.1,24
24,Кызылординская,2002,602104,,49.8,25
25,Кызылординская,2002,602388,,51.5,26
26,Кызылординская,2002,602671,,53.2,27
27,Кызылординская,2002,602954,,54.9,28
28,Кызылординская,2002,603237,,56.6,29
29,Кызылординская,2002,603520,,58.3,30
20,Мангистауская,2002,328265,,44.0,21
21,Мангистауская,2002,329299,,45.7,22
22,Мангистауская,2002,330334,,47.4,23
23,Мангистауская,2002,331369,,49.1,24
24,Мангистауская,2002,332403,,50.8,25
25,Мангистауская,2002,333438,,52.5,26
26,Мангистауская,2002,334473,,54.2,27
27,Мангистауская,2002,335507,,55.9,28
28,Мангистауская,2002,336542,,57.6,29
29,Мангистауская,2002,337577,,59.3,30
29,Павлодарская,2002,749601,,60.3,21
28,Павлодарская,2002,750551,,58.6,22
27,Павлодарская,2002,751501,,56.9,23
26,Павлодарская,2002,752452,,55.2,24
25,Павлодарская,2002,753402,,53.5,25
24,Павлодарская,2002,754352,,51.8,26
23,Павлодарская,2002,755303,,50.1,27
22,Павлодарская,2002,756253,,48.4,28
21,Павлодарская,2002,757203,,46.7,29
20,Павлодарская,2002,758154,,45.0,30
20,Республика Казахстан ,2002,14851059,,34.0,21
21,Республика Казахстан ,2002,14852636,,35.7,22
22,Республика Казахстан ,2002,14854214,,37.4,23
23,Республика Казахстан ,2002,14855792,,39.1,24
24,Республика Казахстан ,2002,14857370,,40.8,25
25,Республика Казахстан ,2002,14858948,,42.5,26
26,Республика Казахстан ,2002,14860525,,44.2,27
27,Республика Казахстан ,2002,14862103,,45.9,28
28,Республика Казахстан ,2002,14863681,,47.6,29
29,Республика Казахстан ,2002,14865259,,49.3,30
29,СКО,2002,683059,,61.3,21
28,СКО,2002,683971,,59.6,22
27,СКО,2002,684882,,57.9,23
26,СКО,2002,685794,,56.2,24
25,СКО,2002,686705,,54.5,25
24,СКО,2002,687617,,52.8,26
23,СКО,2002,688528,,51.1,27
22,СКО,2002,689440,,49.4,28
21,СКО,2002,690351,,47.7,29
20,СКО,2002,691263,,46.0,30
20,Туркестанская,2002,2079506,,47.0,21
21,Туркестанская,2002,2082744,,48.7,22
22,Туркестанская,2002,2085983,,50.4,23
23,Туркестанская,2002,2089222,,52.1,24
24,Туркестанская,2002,2092460,,53.8,25
25,Туркестанская,2002,2095699,,55.5,26
26,Туркестанская,2002,2098938,,57.2,27
27,Туркестанская,2002,2102176,,58.9,28
28,Туркестанская,2002,2105415,,60.6,29
29,Туркестанская,2002,2108654,,62.3,30
30,Акмолинская,2003,748167,,52.0,31
31,Акмолинская,2003,748243,,53.7,32
32,Акмолинская,2003,748319,,55.4,33
33,Акмолинская,2003,748395,,57.1,34
34,Акмолинская,2003,748472,,58.8,35
35,Акмолинская,2003,748548,,60.5,36
36,Акмолинская,2003,748624,,62.2,37
37,Акмолинская,2003,748701,,63.9,38
38,Акмолинская,2003,748777,,65.6,39
39,Акмолинская,2003,748853,,67.3,40
30,Актюбинская,2003,668378,,53.0,31
31,Актюбинская,2003,668721,,54.7,32
32,Актюбинская,2003,669064,,56.4,33
33,Актюбинская,2003,669408,,58.1,34
34,Актюбинская,2003,669751,,59.8,35
35,Актюбинская,2003,670095,,61.5,36
36,Актюбинская,2003,670438,,63.2,37
37,Актюбинская,2003,670781,,64.9,38
38,Актюбинская,2003,671125,,66.6,39
39,Актюбинская,2003,671468,,68.3,40
30,Алматинская,2003,1560267,,54.0,31
31,Алматинская,2003,1561359,,55.7,32
32,Алматинская,2003,1562452,,57.4,33
33,Алматинская,2003,1563545,,59.1,34
34,Алматинская,2003,1564637,,60.8,35
35,Алматинская,2003,1565730,,62.5,36
36,Алматинская,2003,1566823,,64.2,37
37,Алматинская,2003,1567915,,65.9,38
38,Алматинская,2003,1569008,,67.6,39
39,Алматинская,2003,1570101,,69.3,40
30,Алматы,2003,1149641,,67.0,31
31,Алматы,2003,1152197,,68.7,32
32,Алматы,2003,1154754,,70.4,33
33,Алматы,2003,1157311,,72.1,34
34,Алматы,2003,1159867,,73.8,35
35,Алматы,2003,1162424,,75.5,36
36,Алматы,2003,1164981,,77.2,37
37,Алматы,2003,1167537,,78.9,38
38,Алматы,2003,1170094,,80.6,39
39,Алматы,2003,1172651,,82.3,40
30,Астана,2003,501998,,66.0,31
31,Астана,2003,502851,,67.7,32
32,Астана,2003,503705,,69.4,33
33,Астана,2003,504558,,71.1,34
34,Астана,2003,505412,,72.8,35
35,Астана,2003,506265,,74.5,36
36,Астана,2003,507119,,76.2,37
37,Астана,2003,507972,,77.9,38
38,Астана,2003,508826,,79.6,39
39,Астана,2003,509679,,81.3,40
30,Атырауская,2003,451928,,55.0,31
31,Атырауская,2003,452456,,56.7,32
32,Атырауская,2003,452985,,58.4,33
33,Атырауская,2003,453514,,60.1,34
34,Атырауская,2003,454042,,61.8,35
35,Атырауская,2003,454571,,63.5,36
36,Атырауская,2003,455100,,65.2,37
37,Атырауская,2003,455628,,66.9,38
38,Атырауская,2003,456157,,68.6,39
39,Атырауская,2003,456686,,70.3,40
39,ВКО,2003,1456463,,80.3,31
38,ВКО,2003,1457515,,78.6,32
37,ВКО,2003,1458567,,76.9,33
36,ВКО,2003,1459619,,75.2,34
35,ВКО,2003,1460671,,73.5,35
34,ВКО,2003,1461723,,71.8,36
33,ВКО,2003,1462775,,70.1,37
32,ВКО,2003,1463827,,68.4,38
31,ВКО,2003,1464879,,66.7,39
30,ВКО,2003,1465931,,65.0,40
30,Жамбылская,2003,980072,,57.0,31
31,Жамбылская,2003,980620,,58.7,32
32,Жамбылская,2003,981168,,60.4,33
33,Жамбылская,2003,981716,,62.1,34
34,Жамбылская,2003,982264,,63.8,35
35,Жамбылская,2003,982812,,65.5,36
36,Жамбылская,2003,983360,,67.2,37
37,Жамбылская,2003,983908,,68.9,38
38,Жамбылская,2003,984456,,70.6,39
39,Жамбылская,2003,985004,,72.3,40
30,ЗКО,2003,602133,,56.0,31
31,ЗКО,2003,602302,,57.7,32
32,ЗКО,2003,602472,,59.4,33
33,ЗКО,2003,602642,,61.1,34
34,ЗКО,2003,602812,,62.8,35
35,ЗКО,2003,602982,,64.5,36
36,ЗКО,2003,603152,,66.2,37
37,ЗКО,2003,603322,,67.9,38
38,ЗКО,2003,603492,,69.6,39
39,ЗКО,2003,603662,,71.3,40
39,Карагандинская,2003,1331199,,73.3,31
38,Карагандинская,2003,1331472,,71.6,32
37,Карагандинская,2003,1331745,,69.9,33
36,Карагандинская,2003,1332018,,68.2,34
35,Карагандинская,2003,1332291,,66.5,35
34,Карагандинская,2003,1332564,,64.8,36
33,Карагандинская,2003,1332837,,63.1,37
32,Карагандинская,2003,1333110,,61.4,38
31,Карагандинская,2003,1333383,,59.7,39
30,Карагандинская,2003,1333656,,58.0,40
39,Костанайская,2003,914047,,74.3,31
38,Костанайская,2003,914659,,72.6,32
37,Костанайская,2003,915271,,70.9,33
36,Костанайская,2003,915884,,69.2,34
35,Костанайская,2003,916496,,67.5,35
34,Костанайская,2003,917108,,65.8,36
33,Костанайская,2003,917721,,64.1,37
32,Костанайская,2003,918333,,62.4,38
31,Костанайская,2003,918945,,60.7,39
30,Костанайская,2003,919558,,59.0,40
30,Кызылординская,2003,603804,,60.0,31
31,Кызылординская,2003,604172,,61.7,32
32,Кызылординская,2003,604541,,63.4,33
33,Кызылординская,2003,604910,,65.1,34
34,Кызылординская,2003,605278,,66.8,35
35,Кызылординская,2003,605647,,68.5,36
36,Кызылординская,2003,606016,,70.2,37
37,Кызылординская,2003,606384,,71.9,38
38,Кызылординская,2003,606753,,73.6,39
39,Кызылординская,2003,607122,,75.3,40
30,Мангистауская,2003,338612,,61.0,31
31,Мангистауская,2003,339717,,62.7,32
32,Мангистауская,2003,340823,,64.4,33
33,Мангистауская,2003,341928,,66.1,34
34,Мангистауская,2003,343034,,67.8,35
35,Мангистауская,2003,344140,,69.5,36
36,Мангистауская,2003,345245,,71.2,37
37,Мангистауская,2003,346351,,72.9,38
38,Мангистауская,2003,347456,,74.6,39
39,Мангистауская,2003,348562,,76.3,40
39,Павлодарская,2003,745579,,77.3,31
38,Павлодарская,2003,745920,,75.6,32
